FID,School Name,Governance,Authorizer,Operator,Capacity,Count_2015,Grade_conf,Type,Open_Date,Label,MSTEP_2015,MSTEP_2016,MSTEP2015,MSTEP2016,Location
1,Academy of The Americas,DPSCD, , ,1034,803,K-8,Elementary/Middle,1/1/1900, ,5.4,5.0,5.4,5,"5680 Konkel St
Detroit 48210
(42.3270550004, -83.1107549997)"
2,Ann Arbor Trail Magnet School,DPSCD, , ,626,345,K-8,Elementary/Middle,1/1/1900, ,6.2,5.9,6.2,5.9,"7635 Chatham
Detroit 48239
(42.3470849996, -83.2609959998)"
3,Hope Academy,Charter,Eastern Michigan University,Self-managed,0,0,K-8,Elementary/Middle,8/24/1998, ,9.5,8.6,9.5,8.6,"12121 Broadstreet
Detroit 48204
(42.3793649998, -83.135275)"
4,ASA Higher Learning Preparatory,Independent, , ,0,0,K-3,Elementary,7/1/2012, ,-,-,0,0,"20433 Livernois Ave
Detroit 48221
(42.4442489999, -83.1422960001)"
5,Hope of Detroit Academy,Charter,Ferris State University,Leona Group,0,0,K-8,Elementary/Middle,9/1/1999, ,27.4,22.9,27.4,22.9,"4443 N Campbell St
Detroit 48210
(42.3347839998, -83.1168799998)"
6,Bagley Elementary School,DPSCD, , ,596,347,K-6,Elementary,1/1/1900, ,3.7,3.3,3.7,3.3,"8100 Curtis St
Detroit 48221
(42.4247387408, -83.1521944115)"
7,Hutchinson Elementary-Middle School at Howe,DPSCD, , ,745,362,K-8,Elementary/Middle,1/1/1900, ,7.7,6.5,7.7,6.5,"2600 Garland
Detroit 48214
(42.3696430002, -82.9829100001)"
8,Bates Academy,DPSCD, , ,1210,791,K-8,Elementary/Middle,1/1/1900, ,38.3,36.3,38.3,36.3,"19701 Wyoming Ave
Detroit 48221
(42.4378131999, -83.1622306253)"
9,MacDowell Preparatory Academy,DPSCD Charter,Detroit City School District,SABIS,0,359,K-8,Elementary/Middle,1/1/1900, ,6.7,8.0,6.7,8,"4201 W Outer Dr
Detroit 48221
(42.4342350003, -83.1660350003)"
10,"Carson, Benjamin High School for Science and Medicine",DPSCD, , ,594,403,9-12,High,7/1/2011, ,10.6,7.0,10.6,7,"571 Mack
Detroit 48201
(42.3509676741, -83.0517856958)"
11,Bennett Elementary School,DPSCD, , ,697,443,K-8,Elementary/Middle,1/1/1900, ,9.1,7.3,9.1,7.3,"2111 Mulane
Detroit 48209
(42.3093159998, -83.1293310002)"
12,Jalen Rose Leadership Academy,Charter,Central Michigan University,American Promise Schools,0,0,9-12,High,9/6/2011, ,8.5,5.9,8.5,5.9,"15000 Trojan Street
Detroit 48235
(42.4419930002, -83.1947289997)"
13,Blackwell Institute,DPSCD, , ,808,325,K-8,Elementary/Middle,9/1/2001, ,3.6,2.1,3.6,2.1,"9330 Shoemaker
Detroit 48213
(42.3891880004, -83.0053750001)"
14,"White, Jerry L. Center",DPSCD, , ,660,205,9-12,High,7/1/2005, ,-,-,0,0,"14804 W McNichols Rd
Detroit 48235
(42.4164090003, -83.1921280003)"
15,Blanche Kelso Bruce Academy - St. Thomas Site,Charter,Wayne RESA,Self-managed,0,0,K-12,All Grades,9/8/2009, ,-,-,0,0,"8333 Townsend St
Detroit 48213
(42.3891630002, -83.0243710001)"
16,Joy Preparatory Academy,Charter,Ferris State University,Leona Group,0,0,3-8th,Elementary/Middle,9/1/2003, ,9.5,10.9,9.5,10.9,"15055 Dexter
Detroit 48221
(42.4014419136, -83.1359173651)"
17,Blanche Kelso Bruce Academy - West (Cecil Site),Charter,Wayne RESA,Self-managed,0,0,K-12,All Grades,1/11/2010, ,-,5.8,0,5.8,"5690 Cecil St
Detroit 48210
(42.3381959997, -83.1368780002)"
18,Keidan Special Education School,DPSCD, , ,492,136,K-8,Alternative,7/1/2005, ,-,-,0,0,"4441 Collingwood
Detroit 48204
(42.3742490004, -83.128547)"
19,Blanche Kelso Bruce Academy-Connor,Charter,Wayne RESA,Evans Solutions,0,0,K-12,All Grades,10/7/2002, ,-,-,0,0,"5555 Conner Avenue
Detroit 48213
(42.3926999996, -82.9829750004)"
20,King High School,DPSCD, , ,1656,1493,9-12,High,1/1/1900, ,3.2,3.5,3.2,3.5,"3200 E Lafayette St
Detroit 48207
(42.343037, -83.0158090001)"
21,Blanche Kelso Bruce Academy-DePaul,Charter,Wayne RESA,Evans Solutions,0,0,K-12,All Grades,8/13/2005, ,-,-,0,0,"609 East Grand Blvd
Detroit 48207
(42.3597140001, -83.0108049996)"
22,"King, John R. Academic and Performing Arts Academy",DPSCD, , ,1320,836,K-8,Elementary/Middle,1/1/1900, ,2.1,3.2,2.1,3.2,"15850 Strathmoor St
Detroit 48227
(42.4086510004, -83.1866009999)"
23,Blanche Kelso Bruce Academy-St. Antoine,Charter,Wayne RESA,Evans Solutions,0,0,5-12th,Middle/High,9/5/2006, ,-,-,0,0,"1326 St. Antoine
Detroit 48226
(42.3370619996, -83.0405400002)"
24,Law Elementary School,EAA, , ,0,0,K-8,Elementary/Middle,1/1/1900,Law,3.0,3.1,3,3.1,"19411 Cliff St
Detroit 48234
(42.4377790001, -83.0293070002)"
25,Bow Elementary-Middle School,DPSCD, , ,804,517,K-8,Elementary/Middle,1/1/1900, ,4.6,3.8,4.6,3.8,"19801 Prevost
Detroit 48235
(42.4367840001, -83.2047699996)"
26,Legacy Charter Academy,Charter,Grand Valley State University,National Heritage Academies,0,0,K-8,Elementary/Middle,9/7/2010, ,13.8,12.8,13.8,12.8,"4900 E Hildale St
Detroit 48234
(42.4291470004, -83.054342)"
27,Breithaupt Career and Technical Center,DPSCD, , ,616,0,9-12,CTC,#N/A, ,-,-,0,0,"9300 Hubbell Ave
Detroit 48228
(42.3635879998, -83.1866569998)"
28,Lincoln-King Academy,Charter,Grand Valley State University,Cornerstone Charter Schools,0,0,K-8,Elementary/Middle,9/9/2009, ,8.5,12.3,8.5,12.3,"13436 Grove St
Detroit 48235
(42.4143279996, -83.1778500002)"
29,Brenda Scott Academy for Theatre Arts,EAA, , ,0,0,K-8,Elementary/Middle,8/18/2003,Brenda Scott,3.9,5.4,3.9,5.4,"18440 Hoover St
Detroit 48205
(42.4291450003, -83.0032649999)"
30,Loyola High School,Independent, , ,0,0,9-12,High,1/1/1900, ,-,-,0,0,"15325 Pinehurst
Detroit 48238
(42.4032359998, -83.1668379996)"
31,Brewer Academy,DPSCD, , ,812,476,K-8,Elementary/Middle,8/1/2009, ,3.6,3.7,3.6,3.7,"18025 Brock
Detroit 48205
(42.4286770003, -82.9634189997)"
32,Ludington Magnet Middle School,DPSCD, , ,1125,333,5-8,Middle,1/1/1900, ,11.4,8.1,11.4,8.1,"19051 Berg Rd
Detroit 48219
(42.4349930002, -83.2691639996)"
33,"Brown, Ronald Academy",DPSCD, , ,1161,627,K-6,Elementary,1/1/1900, ,10.1,7.4,10.1,7.4,"11530 Outer Dr
Detroit 48224
(42.404643, -82.9473620003)"
34,Mackenzie Elementary-Middle School,DPSCD, , ,1064,1045,K-8,Elementary/Middle,7/1/2012, ,3.8,2.1,3.8,2.1,"10147 W Chicago
Detroit 48204
(42.3652259998, -83.1595439996)"
35,Bunche Preparatory Academy,DPSCD, , ,1167,501,K-8,Elementary/Middle,1/1/1900, ,5.7,4.7,5.7,4.7,"2715 Macomb
Detroit 48207
(42.3442950004, -83.0239939998)"
36,Madison-Carver Academy,Charter,Grand Valley State University,Cornerstone Charter Schools,0,0,K-8,Elementary/Middle,7/1/2012, ,11.9,10.9,11.9,10.9,"19900 McIntyre Street
Detroit 48219
(42.4369640003, -83.2629360002)"
37,Burns Elementary-Middle School,EAA, , ,0,0,K-8,Elementary/Middle,1/1/1900,Burns,2.5,2.4,2.5,2.4,"14350 Terry St
Detroit 48227
(42.3935179996, -83.1911809998)"
38,Mann Learning Community,DPSCD, , ,492,359,K-5,Elementary,1/1/1900, ,3.4,5.2,3.4,5.2,"19625 Elmira
Detroit 48228
(42.3690020003, -83.2343329996)"
39,Burton International Academy,DPSCD, , ,1038,611,K-8,Elementary/Middle,1/1/1900, ,23.0,22.5,23,22.5,"2001 Martin Luther King
Detroit 48208
(42.3394370003, -83.0780909998)"
40,Twain School for Scholars,DPSCD, , ,936,240,K-8,Elementary/Middle,1/1/1900, ,16.2,11.6,16.2,11.6,"12800 Visger
Detroit 48217
(42.2693270002, -83.1623779998)"
41,Capstone Academy Charter School (SDA) - North Campus,DPSCD Charter,Detroit City School District,edtec central,0,0,K-12,All Grades,7/7/2013, ,-,-,0,0,"5250 John R St
Detroit 48202
(42.359907, -83.0632240004)"
42,Marquette Elementary-Middle School,DPSCD, , ,1233,587,K-8,Elementary/Middle,1/1/1900, ,2.6,2.3,2.6,2.3,"6145 Canyon St
Detroit 48236
(42.4195939997, -82.9227130003)"
